"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"russpa1","Aimophila rufescens","Rusty Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rucspa","Aimophila ruficeps","Rufous-crowned Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"gnttow","Pipilo chlorurus","Green-tailed Towhee",FALSE,"3","TRUE",2021-06-21,2021-08-03,"3","TRUE",2021-11-09,2021-03-15,"3","TRUE",2021-08-10,2021-11-02,"3","TRUE",2021-03-22,2021-06-14,NA,NA,NA
"spotow","Pipilo maculatus","Spotted Towhee",FALSE,"3","TRUE",2021-05-31,2021-08-17,"3","TRUE",2021-11-30,2021-02-15,"3","TRUE",2021-08-24,2021-11-23,"3","TRUE",2021-02-22,2021-05-24,NA,NA,NA
"eastow","Pipilo erythrophthalmus","Eastern Towhee",FALSE,"3","TRUE",2021-06-07,2021-09-14,"3","TRUE",2021-12-07,2021-03-01,"3","TRUE",2021-09-21,2021-11-30,"3","TRUE",2021-03-08,2021-05-31,NA,NA,NA
"wnbfin1","Atlapetes albinucha","White-naped Brushfinch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yetfin1","Atlapetes tibialis","Yellow-thighed Brushfinch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"yehbrf1","Atlapetes flaviceps","Yellow-headed Brushfinch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"purtan1","Nesospingus speculiferus","Puerto Rican Tanager",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"wesspi","Spindalis zena","Western Spindalis",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
